"Scenario","Surface","TE.sh","TE.hs","k.surf","Conc.4hour","Conc.surf.i"
"I5","Frontdesk",0.372316602665408,0.204946871757883,0.000244654371424158,1.5622887465003e-06,105.35486075279
"I5","Table",0.319191540374502,0.252537392363071,0.000223773611236342,3.20823586303677e-08,104.680927201062
"I5","Elevator",0.372337403765197,0.205856891749018,0.000244571790010966,3.58390372733121e-05,112.933579241527
"I5","Table",0.321397102941884,0.253113055175654,0.000223165234925574,3.47151596367064e-08,112.933579241527
"I6","Elevator",0.370665787096011,0.206282559074298,0.000244300043420459,3.85709404509185e-05,121.795189782491
"I6","Frontdesk",0.372870408826932,0.207012226964517,0.000244588762013621,1.78634514018577e-06,121.958888545622
"I6","Elevator",0.372729954607369,0.207053371021797,0.000244206406131946,3.74607222420898e-05,118.323232466002
"I6","Frontdesk",0.370100547494235,0.206810405738831,0.000244269798773071,1.74403913468683e-06,118.323232466002
"I6","Table",0.31797395038738,0.251839237284807,0.000223587192691919,3.62500082056337e-08,121.873665488107
"I6","Elevator",0.371369995877288,0.20708370727618,0.00024440256902968,3.83519838290486e-05,121.274826989189
"I6","Table",0.317950929271435,0.250951021691513,0.000223482628087504,3.74757381310458e-08,121.274826989189
"I7","Elevator",0.371797133864947,0.206143453003332,0.000244250178720824,3.213205055944e-05,101.406473298989
"I7","Frontdesk",0.372058794437241,0.206445437675611,0.00024428699865004,1.45339263371198e-06,97.9102742140755
"I7","Elevator",0.370059301569732,0.205902745427748,0.000244211576667842,3.14850683397365e-05,100.147032571703
"I7","Frontdesk",0.373055303125717,0.204797993993376,0.000244088439228028,1.46583376016955e-06,100.147032571703
"I7","Table",0.316215571980674,0.251584612807582,0.000223501930720428,2.93302528991889e-08,96.7553268150501
"I7","Elevator",0.372386029514653,0.206294622494732,0.000244225498826108,3.29731304861287e-05,103.698289970402
"I7","Table",0.320790403633837,0.250465968823895,0.000223542088468954,3.22444754782783e-08,103.698289970402
"I8","Elevator",0.371001488508343,0.20785551268618,0.000244158694893126,3.88710074788612e-05,122.769727074027
"I8","Frontdesk",0.373341394907095,0.206386584930485,0.000244277786107429,1.77582322591243e-06,121.268253999222
"I8","Elevator",0.373327499084949,0.205321687585961,0.000244239116864055,3.83471720211738e-05,120.857333960127
"I8","Frontdesk",0.371872360444033,0.205925624144708,0.000244534209269287,1.78530911062765e-06,120.857333960127
"I8","Table",0.319184612451064,0.254034088981225,0.000223361994944883,3.73851807012093e-08,123.129340342339
"I8","Elevator",0.371603133301263,0.206651370778377,0.000244395014540414,3.89753862870802e-05,123.585572907218
"I8","Table",0.319252269399499,0.252009133914884,0.000223531107492849,3.6695966819739e-08,123.585572907218
"I9","Elevator",0.371357960053975,0.207036710090877,0.000244393474615715,2.21205087674096e-05,69.7624076043799
"I9","Frontdesk",0.372059275144705,0.204827243045748,0.000245164946150998,1.02709274340871e-06,69.7286621959848
"I9","Elevator",0.371415130809624,0.205855210690823,0.000244384632063348,2.09416126255703e-05,66.8618609625798
"I9","Frontdesk",0.369921144089658,0.207296395290416,0.000244095650094317,9.7496764014363e-07,66.8618609625798
"I9","Table",0.320158860769581,0.251713713097226,0.000223594292353638,2.22463512810639e-08,69.714128375932
"I9","Elevator",0.373227086651797,0.203448301264456,0.000244328895597053,2.32822860622899e-05,73.7757185286235
"I9","Table",0.320232971087678,0.251190813607311,0.000223610971231088,2.24362864919146e-08,73.7757185286235
