"scenario","sequence","event","variable","mean","sd","min","max","median"
"I1","E","Hand to face touch","Conc.s",32.8982622675128,104.896336092088,5.92593857596829e-05,2005.64603841515,0.556355099527354
"I1","E","suscept touch seq 1","Conc.s",77.1409138313984,236.214679301048,0.000149148468227301,4531.36803500867,1.35613638460608
"I1","E_FD","Hand to face touch","Conc.s",0.00364940460908986,0.0182393374955176,3.60739261671365e-12,0.761257585820987,3.48687071211628e-05
"I1","E_FD","suscept touch seq 1","Conc.s",76.7260276491032,236.424607322228,0.000141150252630517,5011.66631997692,1.38802501777182
"I1","E_FD","suscept touch seq 2","Conc.s",0.00365207239923352,0.0182526090510686,3.60981747833812e-12,0.761785117925991,3.48994156632707e-05
"I1","E_TT","Hand to face touch","Conc.s",0.000353625968796743,0.00185773333404521,2.38441595346174e-12,0.0684767878083945,2.97891108378496e-06
"I1","E_TT","suscept touch seq 1","Conc.s",77.0687752306113,238.660075722574,0.000134358004024654,5155.94592899127,1.37574700816317
"I1","E_TT","suscept touch seq 2","Conc.s",0.000353863326333962,0.00185899808890285,2.38615831284943e-12,0.0685257228986887,2.98088763293565e-06
"I2","E","Hand to face touch","Conc.s",8.00845666755608,41.7972168919093,1.00023478546432e-07,1298.73284827669,0.0619663633385024
"I2","E","suscept touch seq 1","Conc.s",8.01434641041494,41.8285006845455,1.00093915090151e-07,1299.80725816131,0.0620066958794067
"I2","E_FD","Hand to face touch","Conc.s",0.00110490718349373,0.010491051675433,1.17237341654251e-12,0.577816837291323,4.91968626388744e-06
"I2","E_FD","suscept touch seq 1","Conc.s",8.75189000270072,50.0672346166754,1.32423274200734e-08,1884.03622956486,0.0614487880886092
"I2","E_FD","suscept touch seq 2","Conc.s",0.00110572027224137,0.0104988851040174,1.17334131637056e-12,0.578252009989318,4.92316259620999e-06
"I2","E_TT","Hand to face touch","Conc.s",8.76518382940774e-05,0.000581755417345658,5.41757605496796e-13,0.0203454547733771,4.00543875274801e-07
"I2","E_TT","suscept touch seq 1","Conc.s",8.28237833990176,44.1030523245558,1.4330362783515e-07,2091.61783417572,0.0577320433491094
"I2","E_TT","suscept touch seq 2","Conc.s",8.7710836963304e-05,0.000582147525750007,5.42097320612811e-13,0.0203598719117763,4.00801735483031e-07
"I3","E","Hand to face touch","Conc.s",104.586454538529,343.655036203916,6.38875411331064e-05,6865.03570426118,1.63507814855533
"I3","E","suscept touch seq 1","Conc.s",104.663645246149,343.90714069063,6.39331417323565e-05,6870.29237899751,1.63607375513124
"I3","E_FD","Hand to face touch","Conc.s",0.00425365004437962,0.0201502388687684,2.45057170500223e-11,1.03043503401294,4.45810203334498e-05
"I3","E_FD","suscept touch seq 1","Conc.s",104.986405060176,352.398258508389,2.80477972911723e-05,7433.23810184591,1.59654277120057
"I3","E_FD","suscept touch seq 2","Conc.s",0.00425680087186341,0.0201654474171462,2.45242683774787e-11,1.0312375527405,4.46161587653745e-05
"I3","E_TT","Hand to face touch","Conc.s",0.000396856150360395,0.001746566256576,3.30255254582543e-11,0.0466960356272011,3.64470397118126e-06
"I3","E_TT","suscept touch seq 1","Conc.s",108.449262974057,349.448915771048,7.68411403478633e-05,6124.72699219814,1.5925505415701
"I3","E_TT","suscept touch seq 2","Conc.s",0.000397120762676258,0.0017477235161767,3.30480214961491e-11,0.0467250291731715,3.64708127341755e-06
"I4","E","Hand to face touch","Conc.s",98.7026962486844,338.512967108589,1.67406016605155e-05,8527.60122531873,1.52262479074374
"I4","E","suscept touch seq 1","Conc.s",98.7750668126127,338.759947449865,1.67548964928803e-05,8533.26312353995,1.52358962205577
"I4","E_FD","Hand to face touch","Conc.s",0.00997310024795312,0.0455363571435154,1.7904381970259e-11,1.7699085979373,8.67478251845986e-05
"I4","E_FD","suscept touch seq 1","Conc.s",96.2583048754812,318.345031680959,7.58393662684305e-07,8614.71217870713,1.48103241213918
"I4","E_FD","suscept touch seq 2","Conc.s",0.00998038142982696,0.0455690891036706,1.79175508144697e-11,1.77103802218416,8.68051584477725e-05
"I4","E_TT","Hand to face touch","Conc.s",0.000973672274762646,0.00478474849485893,1.45305081640986e-12,0.175755688261861,7.78051086025134e-06
"I4","E_TT","suscept touch seq 1","Conc.s",99.6233195202267,330.611734276604,9.04462910591434e-06,5487.7143161075,1.46388273896438
"I4","E_TT","suscept touch seq 2","Conc.s",0.000974328040607823,0.00478795826052683,1.45394289819436e-12,0.175859552604901,7.78570548472247e-06
"I5","E","Hand to face touch","Conc.s",86.8733514974199,299.940464100316,2.63430042765368e-06,7363.18898328325,1.1195853290963
"I5","E","suscept touch seq 1","Conc.s",86.9372529367034,300.161611908722,2.63595179764745e-06,7368.16858558001,1.12043434883529
"I5","E_FD","Hand to face touch","Conc.s",0.0107643996068158,0.0498996882658679,1.18582918078772e-10,1.68440183709204,8.68289657373656e-05
"I5","E_FD","suscept touch seq 1","Conc.s",86.966930011368,300.768760889262,1.55625872075865e-06,6797.06236076941,1.13588520622183
"I5","E_FD","suscept touch seq 2","Conc.s",0.0107722348839033,0.0499358780628636,1.18670374968723e-10,1.68584282107031,8.69002141016708e-05
"I5","E_TT","Hand to face touch","Conc.s",0.00102457483458791,0.00647054025036961,3.55516122397641e-13,0.401630307466155,7.1531063288651e-06
"I5","E_TT","suscept touch seq 1","Conc.s",90.4194349923208,331.452518066149,1.17690388891276e-05,8716.66957908503,1.17278188955803
"I5","E_TT","suscept touch seq 2","Conc.s",0.00102526060544714,0.00647475316186543,3.55737827710492e-13,0.401874243334266,7.15852411129238e-06
