ID,Sequence,Fomite
118,1,Elevator
118,2,Frontdesk
118,3,End
119,1,Elevator
119,2,Tabletop
119,3,End
120,1,Elevator
120,2,End
121,1,Elevator
121,2,Tabletop
121,3,End
122,1,Elevator
122,2,Gymdoor
122,3,End
123,1,Frontdesk
123,2,End
124,1,Elevator
124,2,Frontdesk
124,3,Tabletop
124,4,Fridge 
124,5,Tabletop
124,6,Tabletop
124,7,End
125,1,Backdoor
125,2,End
126,1,Elevator
126,2,Fridge 
126,3,Fridge 
126,4,Fridge 
126,5,Tabletop
126,6,Frontdesk
126,7,End
127,1,Elevator
127,2,End
128,1,Elevator
128,2,Tabletop
128,3,End
129,1,Elevator
129,2,Backdoor
129,3,End
130,1,Tabletop
130,2,Chairs 
130,3,End
131,1,Elevator
131,2,Tabletop
131,3,Fridge 
131,4,End
132,1,Tabletop
132,2,Chairs 
132,3,End
133,1,Elevator
133,2,Frontdesk
133,3,End
134,1,Elevator
134,2,Tabletop
134,3,End
135,1,Elevator
135,2,End
136,1,Tabletop
136,2,End
137,1,Frontdesk
137,2,Tabletop
137,3,End
138,1,Tabletop
138,2,End
139,1,Chairs 
139,2,Backdoor
139,3,End
140,1,Frontdesk
140,2,End
141,1,Frontdesk
141,2,Pooltable
141,3,Elevator
141,4,End
142,1,Elevator
142,2,End
143,1,Frontdesk
143,2,Elevator
143,3,End
144,1,Tabletop
144,2,End
145,1,Tabletop
145,2,Frontdesk
145,3,Fridge 
145,4,Chairs 
145,5,End
146,1,Frontdesk
146,2,Tabletop
146,3,End
147,1,Frontdesk
147,2,End
148,1,Frontdesk
148,2,End
149,1,Tabletop
149,2,End
150,1,Frontdesk
150,2,End
151,1,Frontdesk
151,2,End
152,1,Frontdesk
152,2,End
153,1,Tabletop
153,2,End
154,1,Chairs 
154,2,End
155,1,Frontdesk
155,2,End
156,1,Elevator
156,2,End
157,1,Frontdesk
157,2,End
158,1,Elevator
158,2,Frontdesk
158,3,End
159,1,Elevator
159,2,End
160,1,Elevator
160,2,End
161,1,Chairs 
161,2,End
162,1,Elevator
162,2,End
163,1,Backdoor
163,2,Elevator
163,3,End
164,1,Elevator
